Longitude,Latitude,zone,LocationID,borough
-74.17678575,40.68951565,Newark Airport,1,EWR
-73.82612577,40.62572424,Jamaica Bay,2,Queens
-73.84947892,40.86588754,Allerton/Pelham Gardens,3,Bronx
-73.97702292,40.72415214,Alphabet City,4,Manhattan
-74.18992967,40.55034012,Arden Heights,5,Staten Island
-74.06777446,40.59906217,Arrochar/Fort Wadsworth,6,Staten Island
-73.92149057,40.76108473,Astoria,7,Queens
-73.92320241,40.77860696,Astoria Park,8,Queens
-73.78802025,40.75441093,Auburndale,9,Queens
-73.79166546,40.6781247,Baisley Park,10,Queens
-74.01061563,40.60397771,Bath Beach,11,Brooklyn
-74.01549033,40.70248841,Battery Park,12,Manhattan
-74.01611967,40.71161208,Battery Park City,13,Manhattan
-74.03044705,40.62358428,Bay Ridge,14,Brooklyn
-73.78797108,40.7852195,Bay Terrace/Fort Totten,15,Queens
-73.77166782,40.76120883,Bayside,16,Queens
-73.9491813,40.6919941,Bedford,17,Brooklyn
-73.88692199,40.86876288,Bedford Park,18,Bronx
-73.7278694,40.73647244,Bellerose,19,Queens
-73.88603484,40.85777311,Belmont,20,Bronx
-73.98130073,40.60204898,Bensonhurst East,21,Brooklyn
-73.99429702,40.60962734,Bensonhurst West,22,Brooklyn
-74.15944329,40.60750422,Bloomfield/Emerson Hill,23,Staten Island
-73.96556853,40.80203277,Bloomingdale,24,Manhattan
-73.98645899,40.68561459,Boerum Hill,25,Brooklyn
-73.98956041,40.62861224,Borough Park,26,Brooklyn
-73.9097812,40.55895009,Breezy Point/Fort Tilden/Riis Beach,27,Queens
-73.80732908,40.71085278,Briarwood/Jamaica Hills,28,Queens
-73.96057985,40.58219555,Brighton Beach,29,Brooklyn
-73.82009755,40.60487218,Broad Channel,30,Queens
-73.87572205,40.85992052,Bronx Park,31,Bronx
-73.86462414,40.86445171,Bronxdale,32,Bronx
-73.9953288,40.69623833,Brooklyn Heights,33,Brooklyn
-73.96769897,40.70255904,Brooklyn Navy Yard,34,Brooklyn
-73.91248149,40.66380982,Brownsville,35,Brooklyn
-73.91656398,40.69908474,Bushwick North,36,Brooklyn
-73.92594836,40.69626745,Bushwick South,37,Brooklyn
-73.73554956,40.69329557,Cambria Heights,38,Queens
-73.89977387,40.63887893,Canarsie,39,Brooklyn
-73.99581808,40.67850422,Carroll Gardens,40,Brooklyn
-73.95206533,40.80420483,Central Harlem,41,Manhattan
-73.93951647,40.82104621,Central Harlem North,42,Manhattan
-73.96557218,40.78245974,Central Park,43,Manhattan
-74.22954655,40.52729818,Charleston/Tottenville,44,Staten Island
-73.99825262,40.71305783,Chinatown,45,Manhattan
-73.78648631,40.8474999,City Island,46,Bronx
-73.89692915,40.84575495,Claremont/Bathgate,47,Bronx
-73.98985665,40.76223676,Clinton East,48,Manhattan
-73.96493373,40.68851588,Clinton Hill,49,Brooklyn
-73.9938994,40.76669237,Clinton West,50,Manhattan
-73.83042363,40.87406155,Co-Op City,51,Bronx
-73.99692247,40.68660454,Cobble Hill,52,Brooklyn
-73.84407035,40.78198796,College Point,53,Queens
-74.00309279,40.68699115,Columbia Street,54,Brooklyn
-73.99047414,40.57689962,Coney Island,55,Brooklyn
-73.85905335,40.74159862,Corona,56,Queens
-73.85338447,40.75231604,Corona,56,Queens
-73.82070538,40.8414755,Country Club,58,Bronx
-73.89307443,40.83885999,Crotona Park,59,Bronx
-73.8897822,40.83129412,Crotona Park East,60,Bronx
-73.94128203,40.67384285,Crown Heights North,61,Brooklyn
-73.94926997,40.66708956,Crown Heights South,62,Brooklyn
-73.87767643,40.68481019,Cypress Hills,63,Brooklyn
-73.73139216,40.76063128,Douglaston,64,Queens
-73.98557106,40.69537261,Downtown Brooklyn/MetroTech,65,Brooklyn
-73.98638275,40.70173247,DUMBO/Vinegar Hill,66,Brooklyn
-74.01473587,40.61845441,Dyker Heights,67,Brooklyn
-73.99994016,40.74839722,East Chelsea,68,Manhattan
-73.91536622,40.83060768,East Concourse/Concourse Village,69,Bronx
-73.86840291,40.76394782,East Elmhurst,70,Queens
-73.93773452,40.64392852,East Flatbush/Farragut,71,Brooklyn
-73.92021005,40.65246063,East Flatbush/Remsen Village,72,Brooklyn
-73.80658433,40.75369749,East Flushing,73,Queens
-73.9383105,40.80556557,East Harlem North,74,Manhattan
-73.94495667,40.79065016,East Harlem South,75,Manhattan
-73.87841737,40.6586863,East New York,76,Brooklyn
-73.89571716,40.66770187,East New York/Pennsylvania Avenue,77,Brooklyn
-73.88664559,40.84603028,East Tremont,78,Bronx
-73.98521412,40.72794428,East Village,79,Manhattan
-73.94232931,40.71446957,East Williamsburg,80,Brooklyn
-73.84553257,40.87735883,Eastchester,81,Bronx
-73.87234401,40.73846392,Elmhurst,82,Queens
-73.88922183,40.7401456,Elmhurst/Maspeth,83,Queens
-74.17393733,40.5320172,Eltingville/Annadale/Prince's Bay,84,Staten Island
-73.95220884,40.64725497,Erasmus,85,Brooklyn
-73.75418673,40.60255393,Far Rockaway,86,Queens
-74.00781212,40.70665962,Financial District North,87,Manhattan
-74.01130777,40.7033938,Financial District South,88,Manhattan
-73.96269373,40.64098273,Flatbush/Ditmas Park,89,Brooklyn
-73.99677751,40.74254616,Flatiron,90,Manhattan
-73.93254359,40.62738999,Flatlands,91,Brooklyn
-73.83044713,40.76412728,Flushing,92,Queens
-73.84189276,40.73923466,Flushing Meadows-Corona Park,93,Queens
-73.90059101,40.85826076,Fordham South,94,Bronx
-73.84821994,40.72346527,Forest Hills,95,Queens
-73.87601222,40.69576099,Forest Park/Highland Park,96,Queens
-73.97557658,40.69061566,Fort Greene,97,Brooklyn
-73.77955023,40.73384122,Fresh Meadows,98,Queens
-74.18770274,40.57961795,Freshkills Park,99,Staten Island
-73.98878589,40.75351409,Garment District,100,Manhattan
-73.70907059,40.74372178,Glen Oaks,101,Queens
-73.88199873,40.70267936,Glendale,102,Queens
-74.04518141,40.68986057,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
-74.03913087,40.69867328,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
-74.01879437,40.68813782,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
-73.99176358,40.67336117,Gowanus,106,Brooklyn
-73.98331035,40.73734838,Gramercy,107,Manhattan
-73.98037615,40.58911034,Gravesend,108,Brooklyn
-74.15271469,40.54883072,Great Kills,109,Staten Island
-74.12584641,40.54326752,Great Kills Park,110,Staten Island
-73.9909889,40.6521158,Green-Wood Cemetery,111,Brooklyn
-73.9484722,40.72883035,Greenpoint,112,Brooklyn
-73.99462822,40.73248595,Greenwich Village North,113,Manhattan
-73.99867795,40.72861173,Greenwich Village South,114,Manhattan
-74.0924861,40.62012755,Grymes Hill/Clifton,115,Staten Island
-73.94736754,40.82753526,Hamilton Heights,116,Manhattan
-73.7760841,40.59605583,Hammels/Arverne,117,Queens
-74.13707013,40.58563106,Heartland Village/Todt Hill,118,Staten Island
-73.92696621,40.83673003,Highbridge,119,Bronx
-73.93080685,40.84600407,Highbridge Park,120,Manhattan
-73.79968831,40.72734719,Hillcrest/Pomonok,121,Queens
-73.76156419,40.71106847,Hollis,122,Queens
-73.9651983,40.6002048,Homecrest,123,Brooklyn
-73.85000504,40.65956677,Howard Beach,124,Queens
-74.00717569,40.72537634,Hudson Sq,125,Manhattan
-73.88497727,40.81391819,Hunts Point,126,Bronx
-73.92032547,40.86506268,Inwood,127,Manhattan
-73.92543209,40.87218761,Inwood Hill Park,128,Manhattan
-73.88740638,40.75905747,Jackson Heights,129,Queens
-73.80034752,40.70327388,Jamaica,130,Queens
-73.7713745,40.72041233,Jamaica Estates,131,Queens
-73.77826366,40.64260452,JFK Airport,132,Queens
-73.9743362,40.6393872,Kensington,133,Brooklyn
-73.8299927,40.70875018,Kew Gardens,134,Queens
-73.82398551,40.72940996,Kew Gardens Hills,135,Queens
-73.90571997,40.86480273,Kingsbridge Heights,136,Bronx
-73.97711937,40.74035924,Kips Bay,137,Manhattan
-73.87280371,40.77486739,LaGuardia Airport,138,Queens
-73.74332308,40.67774937,Laurelton,139,Queens
-73.95456804,40.76550682,Lenox Hill East,140,Manhattan
-73.95971268,40.76683882,Lenox Hill West,141,Manhattan
-73.98135241,40.77390599,Lincoln Square East,142,Manhattan
-73.98797297,40.77577021,Lincoln Square West,143,Manhattan
-73.99740668,40.72058145,Little Italy/NoLiTa,144,Manhattan
-73.94869919,40.74658997,Long Island City/Hunters Point,145,Queens
-73.93363409,40.75452889,Long Island City/Queens Plaza,146,Queens
-73.89819293,40.81919853,Longwood,147,Bronx
-73.99071836,40.71921167,Lower East Side,148,Manhattan
